	chromosome_name	external_gene_name	description	gene_biotype
SLC13A4	7	SLC13A4	solute carrier family 13 member 4 [Source:HGNC Symbol;Acc:HGNC:15827]	protein_coding
SLC13A5	17	SLC13A5	solute carrier family 13 member 5 [Source:HGNC Symbol;Acc:HGNC:23089]	protein_coding
SLC14A1	18	SLC14A1	solute carrier family 14 member 1 (Kidd blood group) [Source:HGNC Symbol;Acc:HGNC:10918]	protein_coding
SLC14A2	18	SLC14A2	solute carrier family 14 member 2 [Source:HGNC Symbol;Acc:HGNC:10919]	protein_coding
SLC15A1	13	SLC15A1	solute carrier family 15 member 1 [Source:HGNC Symbol;Acc:HGNC:10920]	protein_coding
SLC15A2	3	SLC15A2	solute carrier family 15 member 2 [Source:HGNC Symbol;Acc:HGNC:10921]	protein_coding
SLC15A3	11	SLC15A3	solute carrier family 15 member 3 [Source:HGNC Symbol;Acc:HGNC:18068]	protein_coding
SLC15A4	12	SLC15A4	solute carrier family 15 member 4 [Source:HGNC Symbol;Acc:HGNC:23090]	protein_coding
SLC15A5	12	SLC15A5	solute carrier family 15 member 5 [Source:HGNC Symbol;Acc:HGNC:33455]	protein_coding
SLC16A1	1	SLC16A1	solute carrier family 16 member 1 [Source:HGNC Symbol;Acc:HGNC:10922]	protein_coding
SLC16A10	6	SLC16A10	solute carrier family 16 member 10 [Source:HGNC Symbol;Acc:HGNC:17027]	protein_coding
SLC16A11	17	SLC16A11	solute carrier family 16 member 11 [Source:HGNC Symbol;Acc:HGNC:23093]	protein_coding
SLC16A12	10	SLC16A12	solute carrier family 16 member 12 [Source:HGNC Symbol;Acc:HGNC:23094]	protein_coding
SLC16A13	17	SLC16A13	solute carrier family 16 member 13 [Source:HGNC Symbol;Acc:HGNC:31037]	protein_coding
SLC16A14	2	SLC16A14	solute carrier family 16 member 14 [Source:HGNC Symbol;Acc:HGNC:26417]	protein_coding
SLC16A2	X	SLC16A2	solute carrier family 16 member 2 [Source:HGNC Symbol;Acc:HGNC:10923]	protein_coding
SLC16A3	17	SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	protein_coding
SLC16A4	1	SLC16A4	solute carrier family 16 member 4 [Source:HGNC Symbol;Acc:HGNC:10925]	protein_coding
SLC16A5	17	SLC16A5	solute carrier family 16 member 5 [Source:HGNC Symbol;Acc:HGNC:10926]	protein_coding
SLC16A6	17	SLC16A6	solute carrier family 16 member 6 [Source:HGNC Symbol;Acc:HGNC:10927]	protein_coding
SLC16A7	12	SLC16A7	solute carrier family 16 member 7 [Source:HGNC Symbol;Acc:HGNC:10928]	protein_coding
SLC16A8	22	SLC16A8	solute carrier family 16 member 8 [Source:HGNC Symbol;Acc:HGNC:16270]	protein_coding
SLC16A9	10	SLC16A9	solute carrier family 16 member 9 [Source:HGNC Symbol;Acc:HGNC:23520]	protein_coding
SLC17A1	6	SLC17A1	solute carrier family 17 member 1 [Source:HGNC Symbol;Acc:HGNC:10929]	protein_coding
SLC17A2	6	SLC17A2	solute carrier family 17 member 2 [Source:HGNC Symbol;Acc:HGNC:10930]	protein_coding
SLC17A3	6	SLC17A3	solute carrier family 17 member 3 [Source:HGNC Symbol;Acc:HGNC:10931]	protein_coding
SLC17A4	6	SLC17A4	solute carrier family 17 member 4 [Source:HGNC Symbol;Acc:HGNC:10932]	protein_coding
SLC17A5	6	SLC17A5	solute carrier family 17 member 5 [Source:HGNC Symbol;Acc:HGNC:10933]	protein_coding
SLC17A6	11	SLC17A6	solute carrier family 17 member 6 [Source:HGNC Symbol;Acc:HGNC:16703]	protein_coding
SLC17A7	19	SLC17A7	solute carrier family 17 member 7 [Source:HGNC Symbol;Acc:HGNC:16704]	protein_coding
SLC17A8	12	SLC17A8	solute carrier family 17 member 8 [Source:HGNC Symbol;Acc:HGNC:20151]	protein_coding
SLC17A9	20	SLC17A9	solute carrier family 17 member 9 [Source:HGNC Symbol;Acc:HGNC:16192]	protein_coding
SLC18A1	8	SLC18A1	solute carrier family 18 member A1 [Source:HGNC Symbol;Acc:HGNC:10934]	protein_coding
SLC18A2	10	SLC18A2	solute carrier family 18 member A2 [Source:HGNC Symbol;Acc:HGNC:10935]	protein_coding
SLC18A3	10	SLC18A3	solute carrier family 18 member A3 [Source:HGNC Symbol;Acc:HGNC:10936]	protein_coding
SLC19A1	21	SLC19A1	solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	protein_coding
SLC19A2	1	SLC19A2	solute carrier family 19 member 2 [Source:HGNC Symbol;Acc:HGNC:10938]	protein_coding
SLC19A3	2	SLC19A3	solute carrier family 19 member 3 [Source:HGNC Symbol;Acc:HGNC:16266]	protein_coding
SLC1A1	9	SLC1A1	solute carrier family 1 member 1 [Source:HGNC Symbol;Acc:HGNC:10939]	protein_coding
SLC1A2	11	SLC1A2	solute carrier family 1 member 2 [Source:HGNC Symbol;Acc:HGNC:10940]	protein_coding
SLC1A3	5	SLC1A3	solute carrier family 1 member 3 [Source:HGNC Symbol;Acc:HGNC:10941]	protein_coding
SLC1A4	2	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	protein_coding
SLC1A5	19	SLC1A5	solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]	protein_coding
SLC1A6	19	SLC1A6	solute carrier family 1 member 6 [Source:HGNC Symbol;Acc:HGNC:10944]	protein_coding
SLC1A7	1	SLC1A7	solute carrier family 1 member 7 [Source:HGNC Symbol;Acc:HGNC:10945]	protein_coding
SLC20A1	2	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	protein_coding
SLC20A2	8	SLC20A2	solute carrier family 20 member 2 [Source:HGNC Symbol;Acc:HGNC:10947]	protein_coding
SLC22A1	6	SLC22A1	solute carrier family 22 member 1 [Source:HGNC Symbol;Acc:HGNC:10963]	protein_coding
SLC22A10	11	SLC22A10	solute carrier family 22 member 10 [Source:HGNC Symbol;Acc:HGNC:18057]	protein_coding
SLC22A11	11	SLC22A11	solute carrier family 22 member 11 [Source:HGNC Symbol;Acc:HGNC:18120]	protein_coding
SLC22A12	11	SLC22A12	solute carrier family 22 member 12 [Source:HGNC Symbol;Acc:HGNC:17989]	protein_coding
SLC22A13	3	SLC22A13	solute carrier family 22 member 13 [Source:HGNC Symbol;Acc:HGNC:8494]	protein_coding
SLC22A14	3	SLC22A14	solute carrier family 22 member 14 [Source:HGNC Symbol;Acc:HGNC:8495]	protein_coding
SLC22A15	1	SLC22A15	solute carrier family 22 member 15 [Source:HGNC Symbol;Acc:HGNC:20301]	protein_coding
SLC22A16	6	SLC22A16	solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]	protein_coding
SLC22A17	14	SLC22A17	solute carrier family 22 member 17 [Source:HGNC Symbol;Acc:HGNC:23095]	protein_coding
SLC22A18	11	SLC22A18	solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964]	protein_coding
SLC22A18AS	11	SLC22A18AS	SLC22A18 antisense RNA [Source:HGNC Symbol;Acc:HGNC:10965]	lncRNA
SLC22A2	6	SLC22A2	solute carrier family 22 member 2 [Source:HGNC Symbol;Acc:HGNC:10966]	protein_coding
SLC22A23	6	SLC22A23	solute carrier family 22 member 23 [Source:HGNC Symbol;Acc:HGNC:21106]	protein_coding
SLC22A24	11	SLC22A24	solute carrier family 22 member 24 [Source:HGNC Symbol;Acc:HGNC:28542]	protein_coding
SLC22A25	11	SLC22A25	solute carrier family 22 member 25 [Source:HGNC Symbol;Acc:HGNC:32935]	protein_coding
SLC22A3	6	SLC22A3	solute carrier family 22 member 3 [Source:HGNC Symbol;Acc:HGNC:10967]	protein_coding
SLC22A31	16	SLC22A31	solute carrier family 22 member 31 [Source:HGNC Symbol;Acc:HGNC:27091]	protein_coding
SLC22A4	5	SLC22A4	solute carrier family 22 member 4 [Source:HGNC Symbol;Acc:HGNC:10968]	protein_coding
SLC22A5	5	SLC22A5	solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]	protein_coding
SLC22A6	11	SLC22A6	solute carrier family 22 member 6 [Source:HGNC Symbol;Acc:HGNC:10970]	protein_coding
SLC22A7	6	SLC22A7	solute carrier family 22 member 7 [Source:HGNC Symbol;Acc:HGNC:10971]	protein_coding
SLC22A8	11	SLC22A8	solute carrier family 22 member 8 [Source:HGNC Symbol;Acc:HGNC:10972]	protein_coding
SLC22A9	11	SLC22A9	solute carrier family 22 member 9 [Source:HGNC Symbol;Acc:HGNC:16261]	protein_coding
SLC23A1	5	SLC23A1	solute carrier family 23 member 1 [Source:HGNC Symbol;Acc:HGNC:10974]	protein_coding
SLC23A2	20	SLC23A2	solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]	protein_coding
SLC23A3	2	SLC23A3	solute carrier family 23 member 3 [Source:HGNC Symbol;Acc:HGNC:20601]	protein_coding
SLC24A1	15	SLC24A1	solute carrier family 24 member 1 [Source:HGNC Symbol;Acc:HGNC:10975]	protein_coding
SLC24A2	9	SLC24A2	solute carrier family 24 member 2 [Source:HGNC Symbol;Acc:HGNC:10976]	protein_coding
SLC24A3	20	SLC24A3	solute carrier family 24 member 3 [Source:HGNC Symbol;Acc:HGNC:10977]	protein_coding
SLC24A4	14	SLC24A4	solute carrier family 24 member 4 [Source:HGNC Symbol;Acc:HGNC:10978]	protein_coding
SLC24A5	15	SLC24A5	solute carrier family 24 member 5 [Source:HGNC Symbol;Acc:HGNC:20611]	protein_coding
SLC25A1	22	SLC25A1	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]	protein_coding
SLC25A10	17	SLC25A10	solute carrier family 25 member 10 [Source:HGNC Symbol;Acc:HGNC:10980]	protein_coding
SLC25A11	17	SLC25A11	solute carrier family 25 member 11 [Source:HGNC Symbol;Acc:HGNC:10981]	protein_coding
SLC25A12	2	SLC25A12	solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]	protein_coding
SLC25A13	7	SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	protein_coding
SLC25A14	X	SLC25A14	solute carrier family 25 member 14 [Source:HGNC Symbol;Acc:HGNC:10984]	protein_coding
SLC25A15	13	SLC25A15	solute carrier family 25 member 15 [Source:HGNC Symbol;Acc:HGNC:10985]	protein_coding
SLC25A16	10	SLC25A16	solute carrier family 25 member 16 [Source:HGNC Symbol;Acc:HGNC:10986]	protein_coding
SLC25A17	22	SLC25A17	solute carrier family 25 member 17 [Source:HGNC Symbol;Acc:HGNC:10987]	protein_coding
SLC25A18	22	SLC25A18	solute carrier family 25 member 18 [Source:HGNC Symbol;Acc:HGNC:10988]	protein_coding
SLC25A19	17	SLC25A19	solute carrier family 25 member 19 [Source:HGNC Symbol;Acc:HGNC:14409]	protein_coding
SLC25A2	5	SLC25A2	solute carrier family 25 member 2 [Source:HGNC Symbol;Acc:HGNC:22921]	protein_coding
SLC25A20	3	SLC25A20	solute carrier family 25 member 20 [Source:HGNC Symbol;Acc:HGNC:1421]	protein_coding
SLC25A21	14	SLC25A21	solute carrier family 25 member 21 [Source:HGNC Symbol;Acc:HGNC:14411]	protein_coding
SLC25A22	11	SLC25A22	solute carrier family 25 member 22 [Source:HGNC Symbol;Acc:HGNC:19954]	protein_coding
SLC25A23	19	SLC25A23	solute carrier family 25 member 23 [Source:HGNC Symbol;Acc:HGNC:19375]	protein_coding
SLC25A24	1	SLC25A24	solute carrier family 25 member 24 [Source:HGNC Symbol;Acc:HGNC:20662]	protein_coding
SLC25A25	9	SLC25A25	solute carrier family 25 member 25 [Source:HGNC Symbol;Acc:HGNC:20663]	protein_coding
SLC25A26	3	SLC25A26	solute carrier family 25 member 26 [Source:HGNC Symbol;Acc:HGNC:20661]	protein_coding
SLC25A27	6	SLC25A27	solute carrier family 25 member 27 [Source:HGNC Symbol;Acc:HGNC:21065]	protein_coding
SLC25A28	10	SLC25A28	solute carrier family 25 member 28 [Source:HGNC Symbol;Acc:HGNC:23472]	protein_coding
SLC25A29	14	SLC25A29	solute carrier family 25 member 29 [Source:HGNC Symbol;Acc:HGNC:20116]	protein_coding
SLC25A3	12	SLC25A3	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	protein_coding
SLC25A30	13	SLC25A30	solute carrier family 25 member 30 [Source:HGNC Symbol;Acc:HGNC:27371]	protein_coding
SLC25A31	4	SLC25A31	solute carrier family 25 member 31 [Source:HGNC Symbol;Acc:HGNC:25319]	protein_coding
SLC25A32	8	SLC25A32	solute carrier family 25 member 32 [Source:HGNC Symbol;Acc:HGNC:29683]	protein_coding
SLC25A33	1	SLC25A33	solute carrier family 25 member 33 [Source:HGNC Symbol;Acc:HGNC:29681]	protein_coding
SLC25A34	1	SLC25A34	solute carrier family 25 member 34 [Source:HGNC Symbol;Acc:HGNC:27653]	protein_coding
SLC25A35	17	SLC25A35	solute carrier family 25 member 35 [Source:HGNC Symbol;Acc:HGNC:31921]	protein_coding
SLC25A36	3	SLC25A36	solute carrier family 25 member 36 [Source:HGNC Symbol;Acc:HGNC:25554]	protein_coding
SLC25A37	8	SLC25A37	solute carrier family 25 member 37 [Source:HGNC Symbol;Acc:HGNC:29786]	protein_coding
SLC25A38	3	SLC25A38	solute carrier family 25 member 38 [Source:HGNC Symbol;Acc:HGNC:26054]	protein_coding
SLC25A39	17	SLC25A39	solute carrier family 25 member 39 [Source:HGNC Symbol;Acc:HGNC:24279]	protein_coding
SLC25A4	4	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	protein_coding
SLC25A40	7	SLC25A40	solute carrier family 25 member 40 [Source:HGNC Symbol;Acc:HGNC:29680]	protein_coding
SLC25A41	19	SLC25A41	solute carrier family 25 member 41 [Source:HGNC Symbol;Acc:HGNC:28533]	protein_coding
SLC25A42	19	SLC25A42	solute carrier family 25 member 42 [Source:HGNC Symbol;Acc:HGNC:28380]	protein_coding
SLC25A43	X	SLC25A43	solute carrier family 25 member 43 [Source:HGNC Symbol;Acc:HGNC:30557]	protein_coding
SLC25A44	1	SLC25A44	solute carrier family 25 member 44 [Source:HGNC Symbol;Acc:HGNC:29036]	protein_coding
SLC25A45	11	SLC25A45	solute carrier family 25 member 45 [Source:HGNC Symbol;Acc:HGNC:27442]	protein_coding
SLC25A46	5	SLC25A46	solute carrier family 25 member 46 [Source:HGNC Symbol;Acc:HGNC:25198]	protein_coding
SLC25A47	14	SLC25A47	solute carrier family 25 member 47 [Source:HGNC Symbol;Acc:HGNC:20115]	protein_coding
SLC25A48	5	SLC25A48	solute carrier family 25 member 48 [Source:HGNC Symbol;Acc:HGNC:30451]	protein_coding
SLC25A5	X	SLC25A5	solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]	protein_coding
SLC25A6	X	SLC25A6	solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]	protein_coding
SLC26A1	4	SLC26A1	solute carrier family 26 member 1 [Source:HGNC Symbol;Acc:HGNC:10993]	protein_coding
SLC26A10	12	SLC26A10	solute carrier family 26 member 10 [Source:HGNC Symbol;Acc:HGNC:14470]	transcribed_unitary_pseudogene
SLC26A11	17	SLC26A11	solute carrier family 26 member 11 [Source:HGNC Symbol;Acc:HGNC:14471]	protein_coding
SLC26A2	5	SLC26A2	solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994]	protein_coding
SLC26A3	7	SLC26A3	solute carrier family 26 member 3 [Source:HGNC Symbol;Acc:HGNC:3018]	protein_coding
SLC26A4	7	SLC26A4	solute carrier family 26 member 4 [Source:HGNC Symbol;Acc:HGNC:8818]	protein_coding
SLC26A5	7	SLC26A5	solute carrier family 26 member 5 [Source:HGNC Symbol;Acc:HGNC:9359]	protein_coding
SLC26A7	8	SLC26A7	solute carrier family 26 member 7 [Source:HGNC Symbol;Acc:HGNC:14467]	protein_coding
SLC26A8	6	SLC26A8	solute carrier family 26 member 8 [Source:HGNC Symbol;Acc:HGNC:14468]	protein_coding
SLC26A9	1	SLC26A9	solute carrier family 26 member 9 [Source:HGNC Symbol;Acc:HGNC:14469]	protein_coding
SLC27A1	19	SLC27A1	solute carrier family 27 member 1 [Source:HGNC Symbol;Acc:HGNC:10995]	protein_coding
SLC27A2	15	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	protein_coding
SLC27A3	1	SLC27A3	solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]	protein_coding
SLC27A4	9	SLC27A4	solute carrier family 27 member 4 [Source:HGNC Symbol;Acc:HGNC:10998]	protein_coding
SLC27A5	19	SLC27A5	solute carrier family 27 member 5 [Source:HGNC Symbol;Acc:HGNC:10999]	protein_coding
SLC27A6	5	SLC27A6	solute carrier family 27 member 6 [Source:HGNC Symbol;Acc:HGNC:11000]	protein_coding
SLC28A1	15	SLC28A1	solute carrier family 28 member 1 [Source:HGNC Symbol;Acc:HGNC:11001]	protein_coding
SLC28A2	15	SLC28A2	solute carrier family 28 member 2 [Source:HGNC Symbol;Acc:HGNC:11002]	protein_coding
SLC28A3	9	SLC28A3	solute carrier family 28 member 3 [Source:HGNC Symbol;Acc:HGNC:16484]	protein_coding
SLC29A1	6	SLC29A1	solute carrier family 29 member 1 (Augustine blood group) [Source:HGNC Symbol;Acc:HGNC:11003]	protein_coding
SLC29A2	11	SLC29A2	solute carrier family 29 member 2 [Source:HGNC Symbol;Acc:HGNC:11004]	protein_coding
SLC29A3	10	SLC29A3	solute carrier family 29 member 3 [Source:HGNC Symbol;Acc:HGNC:23096]	protein_coding
SLC29A4	7	SLC29A4	solute carrier family 29 member 4 [Source:HGNC Symbol;Acc:HGNC:23097]	protein_coding
SLC2A1	1	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	protein_coding
SLC2A10	20	SLC2A10	solute carrier family 2 member 10 [Source:HGNC Symbol;Acc:HGNC:13444]	protein_coding
SLC2A11	22	SLC2A11	solute carrier family 2 member 11 [Source:HGNC Symbol;Acc:HGNC:14239]	protein_coding
SLC2A12	6	SLC2A12	solute carrier family 2 member 12 [Source:HGNC Symbol;Acc:HGNC:18067]	protein_coding
SLC2A13	12	SLC2A13	solute carrier family 2 member 13 [Source:HGNC Symbol;Acc:HGNC:15956]	protein_coding
SLC2A14	12	SLC2A14	solute carrier family 2 member 14 [Source:HGNC Symbol;Acc:HGNC:18301]	protein_coding
SLC2A2	3	SLC2A2	solute carrier family 2 member 2 [Source:HGNC Symbol;Acc:HGNC:11006]	protein_coding
SLC2A3	12	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	protein_coding
SLC2A4	17	SLC2A4	solute carrier family 2 member 4 [Source:HGNC Symbol;Acc:HGNC:11009]	protein_coding
SLC2A4RG	20	SLC2A4RG	SLC2A4 regulator [Source:HGNC Symbol;Acc:HGNC:15930]	protein_coding
SLC2A5	1	SLC2A5	solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]	protein_coding
SLC2A6	9	SLC2A6	solute carrier family 2 member 6 [Source:HGNC Symbol;Acc:HGNC:11011]	protein_coding
SLC2A7	1	SLC2A7	solute carrier family 2 member 7 [Source:HGNC Symbol;Acc:HGNC:13445]	protein_coding
SLC2A8	9	SLC2A8	solute carrier family 2 member 8 [Source:HGNC Symbol;Acc:HGNC:13812]	protein_coding
SLC2A9	4	SLC2A9	solute carrier family 2 member 9 [Source:HGNC Symbol;Acc:HGNC:13446]	protein_coding
SLC30A1	1	SLC30A1	solute carrier family 30 member 1 [Source:HGNC Symbol;Acc:HGNC:11012]	protein_coding
SLC30A10	1	SLC30A10	solute carrier family 30 member 10 [Source:HGNC Symbol;Acc:HGNC:25355]	protein_coding
SLC30A2	1	SLC30A2	solute carrier family 30 member 2 [Source:HGNC Symbol;Acc:HGNC:11013]	protein_coding
SLC30A3	2	SLC30A3	solute carrier family 30 member 3 [Source:HGNC Symbol;Acc:HGNC:11014]	protein_coding
SLC30A4	15	SLC30A4	solute carrier family 30 member 4 [Source:HGNC Symbol;Acc:HGNC:11015]	protein_coding
SLC30A5	5	SLC30A5	solute carrier family 30 member 5 [Source:HGNC Symbol;Acc:HGNC:19089]	protein_coding
SLC30A6	2	SLC30A6	solute carrier family 30 member 6 [Source:HGNC Symbol;Acc:HGNC:19305]	protein_coding
SLC30A7	1	SLC30A7	solute carrier family 30 member 7 [Source:HGNC Symbol;Acc:HGNC:19306]	protein_coding
SLC30A8	8	SLC30A8	solute carrier family 30 member 8 [Source:HGNC Symbol;Acc:HGNC:20303]	protein_coding
SLC30A9	4	SLC30A9	solute carrier family 30 member 9 [Source:HGNC Symbol;Acc:HGNC:1329]	protein_coding
SLC31A1	9	SLC31A1	solute carrier family 31 member 1 [Source:HGNC Symbol;Acc:HGNC:11016]	protein_coding
SLC31A2	9	SLC31A2	solute carrier family 31 member 2 [Source:HGNC Symbol;Acc:HGNC:11017]	protein_coding
SLC32A1	20	SLC32A1	solute carrier family 32 member 1 [Source:HGNC Symbol;Acc:HGNC:11018]	protein_coding
SLC33A1	3	SLC33A1	solute carrier family 33 member 1 [Source:HGNC Symbol;Acc:HGNC:95]	protein_coding
SLC34A1	5	SLC34A1	solute carrier family 34 member 1 [Source:HGNC Symbol;Acc:HGNC:11019]	protein_coding
SLC34A2	4	SLC34A2	solute carrier family 34 member 2 [Source:HGNC Symbol;Acc:HGNC:11020]	protein_coding
SLC34A3	9	SLC34A3	solute carrier family 34 member 3 [Source:HGNC Symbol;Acc:HGNC:20305]	protein_coding
SLC35A1	6	SLC35A1	solute carrier family 35 member A1 [Source:HGNC Symbol;Acc:HGNC:11021]	protein_coding
SLC35A2	X	SLC35A2	solute carrier family 35 member A2 [Source:HGNC Symbol;Acc:HGNC:11022]	protein_coding
SLC35A3	1	SLC35A3	solute carrier family 35 member A3 [Source:HGNC Symbol;Acc:HGNC:11023]	protein_coding
SLC35A4	5	SLC35A4	solute carrier family 35 member A4 [Source:HGNC Symbol;Acc:HGNC:20753]	protein_coding
SLC35A5	3	SLC35A5	solute carrier family 35 member A5 [Source:HGNC Symbol;Acc:HGNC:20792]	protein_coding
SLC35B1	17	SLC35B1	solute carrier family 35 member B1 [Source:HGNC Symbol;Acc:HGNC:20798]	protein_coding
SLC35B2	6	SLC35B2	solute carrier family 35 member B2 [Source:HGNC Symbol;Acc:HGNC:16872]	protein_coding
SLC35B3	6	SLC35B3	solute carrier family 35 member B3 [Source:HGNC Symbol;Acc:HGNC:21601]	protein_coding
SLC35B4	7	SLC35B4	solute carrier family 35 member B4 [Source:HGNC Symbol;Acc:HGNC:20584]	protein_coding
SLC35C1	11	SLC35C1	solute carrier family 35 member C1 [Source:HGNC Symbol;Acc:HGNC:20197]	protein_coding
SLC35C2	20	SLC35C2	solute carrier family 35 member C2 [Source:HGNC Symbol;Acc:HGNC:17117]	protein_coding
SLC35D1	1	SLC35D1	solute carrier family 35 member D1 [Source:HGNC Symbol;Acc:HGNC:20800]	protein_coding
SLC35D2	9	SLC35D2	solute carrier family 35 member D2 [Source:HGNC Symbol;Acc:HGNC:20799]	protein_coding
SLC35D3	6	SLC35D3	solute carrier family 35 member D3 [Source:HGNC Symbol;Acc:HGNC:15621]	protein_coding
SLC35E1	19	SLC35E1	solute carrier family 35 member E1 [Source:HGNC Symbol;Acc:HGNC:20803]	protein_coding
SLC35E2B	1	SLC35E2B	solute carrier family 35 member E2B [Source:HGNC Symbol;Acc:HGNC:33941]	protein_coding
SLC35E3	12	SLC35E3	solute carrier family 35 member E3 [Source:HGNC Symbol;Acc:HGNC:20864]	protein_coding
SLC35E4	22	SLC35E4	solute carrier family 35 member E4 [Source:HGNC Symbol;Acc:HGNC:17058]	protein_coding
SLC35F1	6	SLC35F1	solute carrier family 35 member F1 [Source:HGNC Symbol;Acc:HGNC:21483]	protein_coding
SLC35F2	11	SLC35F2	solute carrier family 35 member F2 [Source:HGNC Symbol;Acc:HGNC:23615]	protein_coding
SLC35F3	1	SLC35F3	solute carrier family 35 member F3 [Source:HGNC Symbol;Acc:HGNC:23616]	protein_coding
SLC35F4	14	SLC35F4	solute carrier family 35 member F4 [Source:HGNC Symbol;Acc:HGNC:19845]	protein_coding
SLC35F5	2	SLC35F5	solute carrier family 35 member F5 [Source:HGNC Symbol;Acc:HGNC:23617]	protein_coding
SLC35G1	10	SLC35G1	solute carrier family 35 member G1 [Source:HGNC Symbol;Acc:HGNC:26607]	protein_coding
SLC35G3	17	SLC35G3	solute carrier family 35 member G3 [Source:HGNC Symbol;Acc:HGNC:26848]	protein_coding
SLC35G5	8	SLC35G5	solute carrier family 35 member G5 [Source:HGNC Symbol;Acc:HGNC:15546]	protein_coding
SLC35G6	17	SLC35G6	solute carrier family 35 member G6 [Source:HGNC Symbol;Acc:HGNC:31351]	protein_coding
SLC36A1	5	SLC36A1	solute carrier family 36 member 1 [Source:HGNC Symbol;Acc:HGNC:18761]	protein_coding
SLC36A2	5	SLC36A2	solute carrier family 36 member 2 [Source:HGNC Symbol;Acc:HGNC:18762]	protein_coding
SLC36A3	5	SLC36A3	solute carrier family 36 member 3 [Source:HGNC Symbol;Acc:HGNC:19659]	protein_coding
SLC36A4	11	SLC36A4	solute carrier family 36 member 4 [Source:HGNC Symbol;Acc:HGNC:19660]	protein_coding
SLC37A1	21	SLC37A1	solute carrier family 37 member 1 [Source:HGNC Symbol;Acc:HGNC:11024]	protein_coding
SLC37A2	11	SLC37A2	solute carrier family 37 member 2 [Source:HGNC Symbol;Acc:HGNC:20644]	protein_coding
SLC37A3	7	SLC37A3	solute carrier family 37 member 3 [Source:HGNC Symbol;Acc:HGNC:20651]	protein_coding
SLC37A4	11	SLC37A4	solute carrier family 37 member 4 [Source:HGNC Symbol;Acc:HGNC:4061]	protein_coding
SLC38A1	12	SLC38A1	solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447]	protein_coding
SLC38A10	17	SLC38A10	solute carrier family 38 member 10 [Source:HGNC Symbol;Acc:HGNC:28237]	protein_coding
SLC38A11	2	SLC38A11	solute carrier family 38 member 11 [Source:HGNC Symbol;Acc:HGNC:26836]	protein_coding
SLC38A2	12	SLC38A2	solute carrier family 38 member 2 [Source:HGNC Symbol;Acc:HGNC:13448]	protein_coding
SLC38A3	3	SLC38A3	solute carrier family 38 member 3 [Source:HGNC Symbol;Acc:HGNC:18044]	protein_coding
SLC38A4	12	SLC38A4	solute carrier family 38 member 4 [Source:HGNC Symbol;Acc:HGNC:14679]	protein_coding
SLC38A5	X	SLC38A5	solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070]	protein_coding
SLC38A6	14	SLC38A6	solute carrier family 38 member 6 [Source:HGNC Symbol;Acc:HGNC:19863]	protein_coding
SLC38A7	16	SLC38A7	solute carrier family 38 member 7 [Source:HGNC Symbol;Acc:HGNC:25582]	protein_coding
SLC38A8	16	SLC38A8	solute carrier family 38 member 8 [Source:HGNC Symbol;Acc:HGNC:32434]	protein_coding
SLC38A9	5	SLC38A9	solute carrier family 38 member 9 [Source:HGNC Symbol;Acc:HGNC:26907]	protein_coding
SLC39A1	1	SLC39A1	solute carrier family 39 member 1 [Source:HGNC Symbol;Acc:HGNC:12876]	protein_coding
SLC39A10	2	SLC39A10	solute carrier family 39 member 10 [Source:HGNC Symbol;Acc:HGNC:20861]	protein_coding
SLC39A11	17	SLC39A11	solute carrier family 39 member 11 [Source:HGNC Symbol;Acc:HGNC:14463]	protein_coding
SLC39A12	10	SLC39A12	solute carrier family 39 member 12 [Source:HGNC Symbol;Acc:HGNC:20860]	protein_coding
